symbol,proposed_action,exit_score,days_held,reason,evidence,replacement
CRWD,BUY,0,0,"Fresh signal - Rank #4, Buy","neutral (limited real-time visibility, no provided sentiment data from StockTwits or observable X patterns)",
CPRT,BUY,0,0,"Fresh signal - Rank #6, Buy",neutral (limited real-time visibility on X; no observable mention volume shifts or sentiment patterns detected),
IBKR,BUY,0,0,"Fresh signal - Rank #7, Buy",neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable),
CPB,BUY,0,0,"Fresh signal - Rank #8, Buy",neutral (limited real-time visibility; no recent X sentiment data provided to detect shifts),
INVH,BUY,0,0,"Fresh signal - Rank #8, Buy",neutral (limited real-time visibility; no recent X sentiment data provided to assess shifts),
APH,BUY,0,0,"Fresh signal - Rank #10, Buy",neutral (limited real-time visibility; no recent X sentiment shifts observable),
DOW,BUY,0,0,"Fresh signal - Rank #12, Hold",neutral (limited real-time visibility; no significant X mention volume shifts observed in available data),
CNP,BUY,0,0,"Fresh signal - Rank #12, Hold",neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable without current data),
IP,BUY,0,0,"Fresh signal - Rank #12, Hold",neutral (limited real-time visibility; no clear X mention volume shifts or sentiment patterns observable),
NI,BUY,0,0,"Fresh signal - Rank #12, Hold",neutral (limited real-time visibility; no clear X sentiment shifts observable),
DXCM,BUY,0,0,"Fresh signal - Rank #14, Hold",neutral (limited real-time visibility),
CMG,BUY,0,0,"Fresh signal - Rank #14, Hold",neutral (limited real-time visibility; no recent X sentiment data provided to detect shifts),
CNC,BUY,0,0,"Fresh signal - Rank #15, Hold",neutral (limited real-time visibility; no observable spike in X mention volume or sentiment shift from available patterns),
AMD,BUY,0,0,"Fresh signal - Rank #15, Hold",neutral (limited real-time visibility; no recent X mention volume spikes or sentiment shifts observable),
EIX,BUY,0,0,"Fresh signal - Rank #16, Hold",neutral (limited real-time visibility on X; no observable shifts in mention volume or tone),
